Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C9",0603,2,27pF,
C11,0603,1,0.1uF,
C12,0603,1,100NF,
C13,0603,1,2.2uF,
"C14, C15, C7, C8",0603,4,10uF,
"C16, C17",0603,2,22pF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D59, D6, D60, D61, D7, D8, D9",D_SOD-523,61,1N4148WT,
"J1, J2, J3, J4",USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,4,USB_C_Receptacle_USB2.0_16P,
J5,TerminalBlock_Xinya_XY308-2.54-6P_1x06_P2.54mm_Horizontal,1,6P magnetic connecter,
J6,TerminalBlock_Xinya_XY308-2.54-3P_1x03_P2.54mm_Horizontal,1,DEBUG PIN,
J7,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,Conn_01x05_Pin,
"L1, L10, L11, L12, L13, L14, L15, L16, L17, L18, L19, L2, L20, L21, L22, L23, L24, L25, L26, L27, L28, L29, L3, L30, L31, L32, L33, L34, L35, L36, L37, L38, L39, L4, L40, L41, L42, L43, L44, L45, L46, L47, L48, L49, L5, L50, L51, L52, L53, L54, L55, L56, L57, L58, L59, L6, L60, L61, L7, L8, L9",LED_SK6812MINI-E_3.2x2.8mm_P1.5mm_ReverseMount,61,SK6812MINI-E,
"R1, R2, R3, R4, R5, R6, R7, R8",0603,8,5.1K,
"R10, R9",0603,2,27R,
R11,0603,1,1K,
"R12, R13",0603,2,10K,
R14,0603,1,12K,
"SW1, SW10, SW11, SW12, SW13, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW6, SW7, SW8, SW9",SW_Hotswap_Kailh_MX_1.00u,46,SW_Push,
SW14,SW_Hotswap_Kailh_MX_2.00u,1,SW_Push,
"SW15, SW28",SW_Hotswap_Kailh_MX_1.50u,2,SW_Push,
SW29,SW_Hotswap_Kailh_MX_1.75u,1,SW_Push,
"SW41, SW42",SW_Hotswap_Kailh_MX_2.25u,2,SW_Push,
SW53,SW_Hotswap_Kailh_MX_2.75u,1,SW_Push,
"SW54, SW55, SW56, SW58, SW59, SW60, SW61",SW_Hotswap_Kailh_MX_1.25u,7,SW_Push,
SW57,SW_Hotswap_Kailh_MX_6.25u,1,SW_Push,
SW62,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm_MountingHoles,1,RotaryEncoder_Switch_MP,
"SW63, SW64",SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS,2,SW_Push,
"U10, U8, U9",SOT-23-6,3,USBLC6-2SC6,
U4,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,1,RP2040,
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,
U6,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVS,
U7,SSOP-28_3.9x9.9mm_P0.635mm,1,FE1.1s,
"Y2, Y3",Crystal_SMD_2016-4Pin_2.0x1.6mm,2,12MHz,
