Designator,Mid X,Mid Y,Rotation,Layer
C10,235.24275,-37.485,180.0,bottom
C11,259.14775,-43.835,0.0,bottom
C12,252.4965,-34.0025,0.0,bottom
C13,235.25275,-34.115,0.0,bottom
C14,287.17775,-55.16,90.0,bottom
C15,284.12775,-55.215,90.0,bottom
C16,288.90775,-40.285,0.0,bottom
C17,292.0115,-43.8625,180.0,bottom
C7,222.65775,-40.585,0.0,bottom
C8,241.26775,-30.315,90.0,bottom
C9,235.20775,-41.605,0.0,bottom
D1,35.2315,-62.207499,0.0,bottom
D10,206.6815,-62.207499,0.0,bottom
D11,225.7315,-62.207499,0.0,bottom
D12,244.7815,-62.207499,0.0,bottom
D13,263.8315,-62.207499,0.0,bottom
D14,292.4065,-62.207499,0.0,bottom
D15,39.994,-81.257499,0.0,bottom
D16,63.8065,-81.257499,0.0,bottom
D17,82.8565,-81.257499,0.0,bottom
D18,101.9065,-81.257499,0.0,bottom
D19,120.9565,-81.257499,0.0,bottom
D2,54.2815,-62.207499,0.0,bottom
D20,140.0065,-81.257499,0.0,bottom
D21,159.0565,-81.257499,0.0,bottom
D22,178.1065,-81.257499,0.0,bottom
D23,197.1565,-81.257499,0.0,bottom
D24,216.2065,-81.257499,0.0,bottom
D25,235.2565,-81.257499,0.0,bottom
D26,254.3065,-81.257499,0.0,bottom
D27,273.3565,-81.257499,0.0,bottom
D28,297.169,-81.257499,0.0,bottom
D29,42.37525,-100.307499,0.0,bottom
D3,73.3315,-62.207499,0.0,bottom
D30,68.569,-100.307499,0.0,bottom
D31,87.619,-100.307499,0.0,bottom
D32,106.669,-100.307499,0.0,bottom
D33,125.719,-100.307499,0.0,bottom
D34,144.769,-100.307499,0.0,bottom
D35,163.819,-100.307499,0.0,bottom
D36,182.869,-100.307499,0.0,bottom
D37,201.919,-100.307499,0.0,bottom
D38,220.969,-100.307499,0.0,bottom
D39,240.019,-100.307499,0.0,bottom
D4,92.3815,-62.207499,0.0,bottom
D40,259.069,-100.307499,0.0,bottom
D41,290.02525,-100.307499,0.0,bottom
D42,47.13775,-119.357499,0.0,bottom
D43,78.094,-119.357499,0.0,bottom
D44,97.144,-119.357499,0.0,bottom
D45,116.194,-119.357499,0.0,bottom
D46,135.244,-119.357499,0.0,bottom
D47,154.294,-119.357499,0.0,bottom
D48,173.344,-119.357499,0.0,bottom
D49,192.394,-119.357499,0.0,bottom
D5,111.4315,-62.207499,0.0,bottom
D50,211.444,-119.357499,0.0,bottom
D51,230.494,-119.357499,0.0,bottom
D52,249.544,-119.357499,0.0,bottom
D53,285.26275,-119.357499,0.0,bottom
D54,37.61275,-138.407499,0.0,bottom
D55,61.42525,-138.407499,0.0,bottom
D56,85.23775,-138.407499,0.0,bottom
D57,156.67525,-138.407499,0.0,bottom
D58,228.11275,-138.407499,0.0,bottom
D59,251.92525,-138.407499,0.0,bottom
D6,130.4815,-62.207499,0.0,bottom
D60,275.73775,-138.407499,0.0,bottom
D61,299.55025,-138.407499,0.0,bottom
D7,149.5315,-62.207499,0.0,bottom
D8,168.5815,-62.207499,0.0,bottom
D9,187.6315,-62.207499,0.0,bottom
H1,33.23775,-137.55125,0.0,top
H2,314.22525,-137.55125,0.0,top
H3,314.22525,-30.395,0.0,top
H4,33.23775,-30.395,0.0,top
H5,126.90375,-137.55125,0.0,top
H6,220.56975,-137.55125,0.0,top
H7,126.90375,-30.395,0.0,top
H8,220.56975,-30.395,0.0,top
